ad_id,type,area,bedrooms,bathrooms,level,furnished,rent,city,region,price
Ad id 194203902,apartment,155.0,2,3,ground,no,no,cairo,new cairo - el tagamoa,2569700.0
Ad id 192722330,apartment,160.0,2,1,2,no,yes,alexandria,kafr abdo,7000.0
Ad id 194289766,apartment,70.0,2,1,ground,no,no,cairo,nasr city,50000.0
Ad id 194361900,apartment,220.0,3,3,10+,no,no,dakahlia,mansura,2475000.0
Ad id 194365829,apartment,140.0,3,2,4,no,no,cairo,madinaty,3000000.0
Ad id 194285869,apartment,80.0,3,1,3,no,no,qalyubia,shubra al-khaimah,360000.0
Ad id 194110023,studio,88.0,1,1,ground,yes,no,cairo,new cairo - el tagamoa,2200000.0
Ad id 194164107,apartment,207.0,3,2,6,no,no,alexandria,san stefano,2900000.0
Ad id 194234446,apartment,200.0,2,2,3,yes,yes,cairo,new cairo - el tagamoa,18000.0
Ad id 194314892,apartment,133.0,2,2,2,,no,cairo,new cairo - el tagamoa,3500000.0
Ad id 194093671,duplex,975.0,6,4,ground,no,yes,cairo,new cairo - el tagamoa,40000.0
Ad id 194282857,apartment,149.0,3,2,8,no,no,alexandria,sporting,2400000.0
Ad id 194022457,apartment,240.0,3,3,3,no,no,cairo,new cairo - el tagamoa,2105000.0
Ad id 194300999,apartment,96.0,2,2,2,no,no,cairo,madinaty,2000000.0
Ad id 194178565,apartment,185.0,3,2,1,,yes,cairo,new cairo - el tagamoa,11500.0
Ad id 192490850,apartment,650.0,10+,6,8,no,yes,cairo,nasr city,55000.0
Ad id 194361401,apartment,165.0,3,3,3,,no,cairo,new cairo - el tagamoa,346000.0
Ad id 194270122,apartment,188.0,3,3,ground,no,no,giza,sheikh zayed,3350000.0
Ad id 194316760,apartment,200.0,3,2,2,,no,cairo,shorouk city,1000000.0
Ad id 194293267,apartment,162.0,3,3,4,,no,cairo,new cairo - el tagamoa,5338000.0
Ad id 188428816,apartment,145.0,2,2,3,,yes,cairo,new cairo - el tagamoa,30000.0
Ad id 194304452,apartment,175.0,3,3,1,no,no,cairo,new capital city,2100000.0
