Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Chevrolet,Aveo,Sedan,Gray,2018,Benzine,100000 to 119999,1400 - 1500 CC,Automatic,207.0,Alexandria,2
Hyundai,Accent,Sedan,Silver,2008,Benzine,180000 to 199999,1000 - 1300 CC,Manual,95.5,Qena,0
Hyundai,Matrix,Hatchback,Other Color,2001,Benzine,180000 to 199999,1600 CC,Automatic,132.0,Alexandria,1
Fiat,Punto,Hatchback,White,2006,Benzine,140000 to 159999,1000 - 1300 CC,Manual,74.8,Cairo,0
Chevrolet,Cruze,Sedan,Gray,2016,Benzine,140000 to 159999,1600 CC,Automatic,195.5,Cairo,1
Fiat,Punto,Hatchback,Other Color,2004,Benzine,120000 to 139999,1000 - 1300 CC,Manual,75.0,Alexandria,0
Hyundai,Tucson,SUV,Black,2021,Benzine,10000 to 19999,1600 CC,Automatic,185.6,Giza,1
Hyundai,Elantra,Sedan,Burgundy,2015,Benzine,20000 to 29999,1600 CC,Automatic,258.8,Kafr al-Sheikh,2
Fiat,Uno,Hatchback,Red,1993,Benzine,160000 to 179999,1000 - 1300 CC,Manual,35.0,Cairo,0
Fiat,128,Sedan,White,1983,Benzine,More than 200000,1000 - 1300 CC,Manual,18.4,Giza,0
Fiat,Uno,Hatchback,Blue- Navy Blue,1993,Benzine,70000 to 79999,1000 - 1300 CC,Manual,43.0,Giza,0
Fiat,Shahin,Sedan,Burgundy,1998,Benzine,More than 200000,1400 - 1500 CC,Manual,51.8,Cairo,0
Hyundai,Verna,Sedan,Silver,2010,Benzine,More than 200000,1400 - 1500 CC,Manual,92.0,Cairo,0
Chevrolet,Optra,Sedan,Burgundy,2007,Benzine,0 to 9999,1600 CC,Automatic,135.0,Sharqia,1
Fiat,128,Sedan,Red,1992,Benzine,More than 200000,1000 - 1300 CC,Manual,16.1,Fayoum,0
Fiat,128,Sedan,Red,1985,Benzine,More than 200000,1000 - 1300 CC,Manual,22.0,Monufia,0
Hyundai,Elantra,Sedan,Black,2016,Benzine,100000 to 119999,1600 CC,Automatic,281.8,Cairo,2
Chevrolet,Aveo,Sedan,Red,2020,Benzine,60000 to 69999,1400 - 1500 CC,Automatic,190.0,Giza,1
Chevrolet,Aveo,Sedan,Blue- Navy Blue,2015,Benzine,160000 to 179999,1400 - 1500 CC,Automatic,140.0,Cairo,1
Chevrolet,Aveo,Sedan,Red,2016,Benzine,160000 to 179999,1400 - 1500 CC,Automatic,155.2,Cairo,1
